Decl,Nmeasure,RA,Reference,STAR LOGG,STAR LOGG err,STAR M_H,STAR M_H err,STAR TEFF,STAR TEFF err,STAR V,STAR V err,SourceNumber,Star_Id,Variable,f606w,f814w,Member
-53.685,1,265.255,1,4.58926308,,-1.81102777,0.08910578,5719.7067943,61.05886942,22.23625645,3.4471254368,21000204,1898715,False,18.038,17.326,0.9995626807
-53.6846,1,265.267,1,4.24905343,,-2.03370271,0.3822495,6355.58056634,140.82231445,-9.7083781,14.5113639245,21000206,1898717,False,16.905,16.238,0.9790799022
-53.6841,1,265.248,1,4.40173403,,-1.87778776,0.06175644,6089.40893408,25.76959841,12.97054592,2.5259324926,21000208,1898719,False,17.224,16.577,0.9998472929
-53.6839,1,265.258,1,4.56670206,,-1.92926729,0.09804099,5746.63171077,62.33954659,14.69548838,3.6484949692,21000210,1898721,False,17.974,17.262,0.9998050332
-53.6824,1,265.24,1,4.66368595,,-1.79726075,0.13245894,5460.08627427,101.27343473,13.32187239,4.6306026779,21000218,1898727,False,18.562,17.785,0.9996829033
-53.682,1,265.252,1,4.67337702,,-1.77449796,0.11896056,5599.4583056,93.88454022,32.72579795,4.5028463601,21000219,1898728,False,18.442,17.696,0.9879361391
-53.6815,1,265.248,1,4.68445854,,-1.74351766,0.17750793,5118.3717979,128.96773927,22.50173184,6.672170458,21000221,1898730,False,19.349,18.421,0.9989878535
-53.6804,1,265.243,1,4.61698287,,-1.52174247,0.07271463,5959.04918986,52.16943164,26.57349523,4.2106871339,21000226,1898734,False,17.929,17.257,0.9853845239
-53.6799,1,265.248,1,4.70921245,,-1.82524937,0.16569305,4767.10051065,128.48076551,19.03252972,7.4557955816,21000227,1898735,False,19.452,18.519,0.9995080829
-53.679,1,265.26,1,4.65457731,,-2.12907937,0.13807739,5300.90841797,90.76056348,16.36115563,6.0535177156,21000228,1898736,False,18.449,17.69,0.9995017052
-53.6783,1,265.249,1,4.6304055,,-1.7600988,0.10428725,5861.40693054,65.53172446,12.18691876,4.1251514317,21000230,1898737,False,18.061,17.369,0.9994946122
-53.6782,1,265.25,1,4.7190648,,-0.16564821,0.07584437,5616.92461227,51.83566975,-15.88498828,2.9658693798,21000231,1898738,False,18.742,17.962,0
-53.6777,1,265.248,1,4.72049587,,-1.77525814,0.17892873,5214.87176933,125.95922608,18.32228544,5.7752565884,21000232,1898739,False,19.116,18.26,0.9994060993
-53.6768,1,265.248,1,4.39461747,,-1.67784413,0.0666809,5707.62123185,43.81398508,13.9165261,2.6160117483,21000235,1898741,False,17.508,16.793,0.9991185665
-53.6898,1,265.243,1,4.60723352,,-1.76093147,0.12497694,5494.55266292,101.36625886,22.23824974,5.1960688542,21000244,1898748,False,18.287,17.533,0.999358952
-53.688,1,265.243,1,3.93914388,,-2.05923703,0.04532793,6189.14826121,15.20099949,5.932784,1.5899373844,21000246,1898750,False,15.948,15.319,0.9979240894
-53.6882,1,265.263,1,4.75327724,,-1.64621571,0.1737029,5381.0739746,120.4540427,23.42586561,1.273380114,21000247,1898751,False,19.091,18.261,0.9960747361
-53.6876,1,265.259,1,4.62863573,,-1.77635207,0.11494578,5654.54227037,80.65520642,11.18064039,4.1380636851,21000248,1898752,False,18.245,17.513,0.9993884563
-53.6835,1,265.258,1,4.65684945,,-1.74719484,0.10889166,5785.79024865,72.70114938,10.9785331,4.3415203114,21000256,1898758,False,18.322,17.591,0.9992390275
-53.6827,1,265.25,1,4.64720738,,-1.61952537,0.14607199,5276.08261061,102.9558663,23.0962977,5.8327134496,21000262,1898762,False,18.947,18.079,0.9974112511
-53.6819,1,265.246,1,4.69071849,,-1.54911777,0.13079568,5481.61376748,95.62106146,22.23087133,4.2677529597,21000267,1898765,False,18.739,17.942,0.9953859448
-53.6814,1,265.257,1,4.65875787,,-1.67618733,0.14777483,5420.07175718,101.41749044,26.86294855,5.1156787149,21000269,1898767,False,18.801,17.971,0.9963350892
-53.6798,1,265.262,1,4.29496439,,-2.49040578,0.28794686,6238.3656698,72.05130595,15.34390417,8.317102862,21000277,1898769,False,16.771,16.163,0.9984289408
