186	13 21 13.63	-17 45 09.9	13 21 13.63	-17 45 09.9	80.7	0.6
187	13 17 44.47	-26 18 49.4	13 17 44.47	-26 18 49.4	-14.8	1.1
188	13 11 41.13	-08 38 09.8	13 11 41.13	-08 38 09.8	107.3	0.7
189	13 11 22.80	-41 25 11.2	13 11 22.80	-41 25 11.2	84.4	1.3
190	13 10 15.13	-17 08 24.3	13 10 15.13	-17 08 24.3	52.6	1.0
191	13 02 34.89	-38 45 54.3	13 02 34.89	-38 45 54.3	-54.5	1.0
192	13 01 03.21	-40 38 28.0	13 01 03.21	-40 38 28.0	182.5	1.2
193	12 57 45.40	-19 05 00.6	12 57 45.40	-19 05 00.6	215.5	1.6
194	12 53 51.30	-68 00 27.3	12 53 51.30	-68 00 27.3	205.8	0.9
195	12 46 24.03	-23 15 33.0	12 46 24.03	-23 15 33.0	101.2	1.7
196	12 44 08.09	-30 01 47.5	12 44 08.09	-30 01 47.5	167.2	1.2
197	12 42 52.20	-05 09 43.1	12 42 52.20	-05 09 43.1	161.4	0.8
198	12 41 20.15	-08 05 46.6	12 41 20.15	-08 05 46.6	59.9	1.6
199	12 40 10.72	-23 36 50.2	12 40 10.72	-23 36 50.2	73.2	1.2
200	12 31 38.92	-47 15 18.3	12 31 38.92	-47 15 18.3	174.7	0.8
201	12 16 53.24	-14 00 31.8	12 16 53.24	-14 00 31.8	115.7	0.7
202	12 16 16.85	-49 16 16.0	12 16 16.85	-49 16 16.0	162.1	1.5
203	12 14 53.59	-48 48 31.3	12 14 53.59	-48 48 31.3	118.1	1.5
204	12 08 21.88	-43 22 21.6	12 08 21.88	-43 22 21.6	244.4	0.7
205	12 00 40.80	-25 15 29.6	12 00 40.80	-25 15 29.6	63.0	0.7
206	11 59 16.35	-44 01 16.8	11 59 16.35	-44 01 16.8	24.9	0.6
207	11 58 28.62	-15 10 02.3	11 58 28.62	-15 10 02.3	37.3	1.3
208	11 55 31.69	-46 39 30.9	11 55 31.69	-46 39 30.9	316.6	0.9
209	11 51 50.11	-05 45 44.2	11 51 50.11	-05 45 44.2	229.9	0.4
210	11 51 13.12	-30 05 52.1	11 51 13.12	-30 05 52.1	553.3	0.9
211	11 41 05.73	-01 32 43.3	11 41 05.73	-01 32 43.3	507.9	1.3
212	11 39 00.98	-05 58 14.1	11 39 00.98	-05 58 14.1	238.6	0.9
213	11 38 19.22	-12 14 19.1	11 38 19.22	-12 14 19.1	71.7	1.2
214	11 37 25.39	-20 43 07.5	11 37 25.39	-20 43 07.5	126.5	0.8
215	11 35 23.63	-12 45 52.2	11 35 23.63	-12 45 52.2	242.8	0.7
216	11 26 19.58	-10 54 47.0	11 26 19.58	-10 54 47.0	184.6	0.7
217	11 24 05.49	-02 08 15.6	11 24 05.49	-02 08 15.6	327.4	0.9
218	11 20 58.28	-42 51 23.4	11 20 58.28	-42 51 23.4	459.5	0.5
219	11 10 21.45	-29 17 26.0	11 10 21.45	-29 17 26.0	321.1	0.6
220	11 08 11.91	-52 02 41.7	11 08 11.91	-52 02 41.7	334.6	0.9
221	11 07 21.02	+00 18 01.0	11 07 21.02	+00 18 01.0	49.7	0.5
222	11 01 38.21	-50 29 23.8	11 01 38.21	-50 29 23.8	392.0	0.6
223	11 01 06.58	-19 33 07.9	11 01 06.58	-19 33 07.9	252.1	0.8
224	10 57 30.54	-13 39 35.8	10 57 30.54	-13 39 35.8	233.3	1.1
225	10 47 55.72	-02 14 10.5	10 47 55.72	-02 14 10.5	232.0	0.6
226	10 46 52.95	-78 38 22.8	10 46 52.95	-78 38 22.8	222.8	0.5
227	10 45 18.30	-13 40 22.7	10 45 18.30	-13 40 22.7	265.1	0.8
228	10 44 23.82	-16 29 30.0	10 44 23.82	-16 29 30.0	316.0	1.2
229	10 43 25.51	-41 26 53.6	10 43 25.51	-41 26 53.6	375.9	0.8
230	10 33 51.02	-14 10 49.9	10 33 51.02	-14 10 49.9	318.6	0.6
231	10 33 36.22	-47 08 17.6	10 33 36.22	-47 08 17.6	272.3	0.8
232	10 28 38.99	-67 37 36.6	10 28 38.99	-67 37 36.6	206.0	0.6
233	10 25 59.74	-15 01 42.4	10 25 59.74	-15 01 42.4	366.4	0.7
234	10 20 48.64	-34 01 15.6	10 20 48.64	-34 01 15.6	298.3	0.7
235	10 18 39.11	-38 33 34.6	10 18 39.11	-38 33 34.6	372.4	0.8
236	10 17 52.05	-46 14 06.6	10 17 52.05	-46 14 06.6	483.9	0.6
237	10 16 48.89	-46 18 06.9	10 16 48.89	-46 18 06.9	496.4	0.9
238	10 16 40.52	-46 32 20.5	10 16 40.52	-46 32 20.5	493.9	0.8
239	10 15 39.94	-14 21 54.9	10 15 39.94	-14 21 54.9	304.4	1.4
240	10 14 05.64	-46 28 40.6	10 14 05.64	-46 28 40.6	494.6	0.6
241	09 53 06.07	-25 28 55.4	09 53 06.07	-25 28 55.4	369.1	0.7
242	09 43 23.00	-28 58 09.5	09 43 23.00	-28 58 09.5	323.0	0.6
243	09 38 45.46	-33 39 05.8	09 38 45.46	-33 39 05.8	322.2	0.6
244	09 19 46.68	-13 51 43.7	09 19 46.68	-13 51 43.7	292.7	1.0
245	09 17 11.34	-58 13 43.3	09 17 11.34	-58 13 43.3	262.5	0.4
246	09 15 25.70	-12 01 12.7	09 15 25.70	-12 01 12.7	198.7	0.8
247	09 15 20.91	-16 16 38.2	09 15 20.91	-16 16 38.2	264.7	0.8
248	09 14 22.29	-21 33 15.8	09 14 22.29	-21 33 15.8	328.5	1.0
249	08 52 31.05	-20 30 05.5	08 52 31.05	-20 30 05.5	162.2	2.3
250	08 42 16.56	-60 25 13.3	08 42 16.56	-60 25 13.3	385.1	0.9
251	08 34 56.81	-31 11 06.4	08 34 56.81	-31 11 06.4	302.8	0.7
252	08 07 34.39	-48 00 32.1	08 07 34.39	-48 00 32.1	345.4	1.2
253	07 29 34.05	-42 18 28.7	07 29 34.05	-42 18 28.7	341.7	0.7
254	07 29 23.27	-40 55 26.2	07 29 23.27	-40 55 26.2	309.3	0.5
255	07 14 40.25	-30 55 32.6	07 14 40.25	-30 55 32.6	425.0	0.9
256	07 08 47.73	-76 13 10.2	07 08 47.73	-76 13 10.2	158.0	0.4
257	07 06 29.95	-55 23 36.8	07 06 29.95	-55 23 36.8	283.3	0.6
258	07 06 21.95	-45 26 25.6	07 06 21.95	-45 26 25.6	348.1	0.9
259	07 00 02.03	-38 32 43.0	07 00 02.03	-38 32 43.0	217.4	1.3
260	06 58 07.11	-33 31 06.5	06 58 07.11	-33 31 06.5	306.3	1.0
261	06 53 52.61	-45 28 06.3	06 53 52.61	-45 28 06.3	258.5	1.5
262	06 50 51.64	-40 57 22.4	06 50 51.64	-40 57 22.4	317.3	0.9
263	06 41 01.46	-66 27 31.1	06 41 01.46	-66 27 31.1	377.3	0.9
264	06 40 35.37	-48 39 32.9	06 40 35.37	-48 39 32.9	247.3	0.7
265	06 38 55.61	-33 10 07.7	06 38 55.61	-33 10 07.7	66.1	1.1
266	06 36 45.22	-46 30 57.9	06 36 45.22	-46 30 57.9	253.5	0.9
267	06 34 22.91	-55 52 07.2	06 34 22.91	-55 52 07.2	334.4	0.5
268	06 34 01.06	-59 29 27.4	06 34 01.06	-59 29 27.4	289.4	0.7
269	06 23 31.05	-47 24 41.1	06 23 31.05	-47 24 41.1	183.4	1.1
270	06 20 00.16	-38 34 20.4	06 20 00.16	-38 34 20.4	347.8	2.2
271	06 16 32.47	-37 21 53.2	06 16 32.47	-37 21 53.2	266.2	0.9
272	06 05 28.82	-44 38 18.9	06 05 28.82	-44 38 18.9	253.3	0.6
273	05 58 02.61	-58 33 07.5	05 58 02.61	-58 33 07.5	48.0	0.9
274	05 57 17.19	-69 11 11.7	05 57 17.19	-69 11 11.7	265.6	0.8
275	05 53 31.95	-40 27 16.8	05 53 31.95	-40 27 16.8	316.4	1.1
276	05 37 56.92	-37 55 25.5	05 37 56.92	-37 55 25.5	186.0	1.0
277	05 25 14.42	-49 03 00.6	05 25 14.42	-49 03 00.6	251.8	1.2
278	05 20 06.43	-80 32 22.5	05 20 06.43	-80 32 22.5	269.5	0.6
279	05 16 18.29	-40 47 41.6	05 16 18.29	-40 47 41.6	167.7	0.8
280	05 00 55.57	-60 34 02.7	05 00 55.57	-60 34 02.7	370.7	1.0
281	05 00 55.53	-60 34 02.9	05 00 55.53	-60 34 02.9	370.8	1.0
282	04 58 56.92	-54 10 39.6	04 58 56.92	-54 10 39.6	187.1	1.7
283	04 34 30.18	-58 55 11.3	04 34 30.18	-58 55 11.3	206.5	0.9
284	04 25 44.28	-46 10 36.2	04 25 44.28	-46 10 36.2	128.3	1.4
285	04 17 30.79	-74 55 57.0	04 17 30.79	-74 55 57.0	332.0	1.2
286	03 52 29.21	-84 59 27.4	03 52 29.21	-84 59 27.4	264.3	0.6
287	03 42 25.94	-69 39 43.9	03 42 25.94	-69 39 43.9	320.0	0.6
288	03 42 10.31	-39 12 52.3	03 42 10.31	-39 12 52.3	233.5	1.1
289	03 34 40.19	-67 14 03.8	03 34 40.19	-67 14 03.8	205.5	0.8
290	03 33 38.94	-56 39 59.5	03 33 38.94	-56 39 59.5	102.4	0.8
291	03 28 25.47	-82 33 56.3	03 28 25.47	-82 33 56.3	196.7	0.5
292	03 25 45.37	-40 27 42.2	03 25 45.37	-40 27 42.2	73.5	1.8
293	03 23 39.73	-74 40 53.9	03 23 39.73	-74 40 53.9	242.5	0.8
294	03 11 59.57	-54 00 18.4	03 11 59.57	-54 00 18.4	361.4	0.8
295	02 59 31.67	-60 37 23.4	02 59 31.67	-60 37 23.4	51.6	0.7
296	02 57 57.72	-56 13 31.0	02 57 57.72	-56 13 31.0	165.7	1.2
297	02 57 57.69	-56 13 30.8	02 57 57.69	-56 13 30.8	169.6	0.8
298	02 07 04.39	-48 53 00.1	02 07 04.39	-48 53 00.1	99.9	0.6
299	02 07 04.38	-48 52 59.9	02 07 04.38	-48 52 59.9	100.3	1.0
300	02 05 38.65	-51 00 13.9	02 05 38.65	-51 00 13.9	241.7	0.5
301	02 01 45.21	-48 01 45.2	02 01 45.21	-48 01 45.2	120.4	1.2
302	01 59 29.30	-38 49 07.5	01 59 29.30	-38 49 07.5	97.2	1.0
303	01 58 12.72	-49 17 58.8	01 58 12.72	-49 17 58.8	278.7	1.5
304	01 54 40.91	-37 13 39.4	01 54 40.91	-37 13 39.4	192.7	1.7
305	01 52 56.19	-40 03 25.0	01 52 56.19	-40 03 25.0	139.3	1.2
306	01 44 34.43	-59 29 36.0	01 44 34.43	-59 29 36.0	202.3	1.0
307	01 39 38.29	-39 04 02.1	01 39 38.29	-39 04 02.1	27.7	0.9
308	01 39 23.04	-58 24 05.3	01 39 23.04	-58 24 05.3	100.1	1.4
309	01 39 18.44	-43 27 16.3	01 39 18.44	-43 27 16.3	44.6	0.6
310	01 33 05.86	-59 34 04.9	01 33 05.86	-59 34 04.9	168.0	1.0
311	01 33 05.86	-59 34 04.8	01 33 05.86	-59 34 04.8	167.5	1.1
312	01 30 31.83	-43 42 56.3	01 30 31.83	-43 42 56.3	76.4	0.7
313	01 28 21.06	-43 38 49.6	01 28 21.06	-43 38 49.6	84.1	0.9
314	01 24 52.58	-48 36 31.8	01 24 52.58	-48 36 31.8	165.0	1.3
