207	13 26 16.25	-47 42 12.4	207	233.3790	0.6180	12.665	12.120	12.016	201.56772	-47.70346
208	13 25 27.73	-47 24 45.6	208	230.3299	0.6130	12.556	12.036	11.914	201.36554	-47.41266
209	13 26 13.10	-47 12 50.7	209	230.3594	0.5260	12.580	12.061	11.958	201.55459	-47.21407
210	13 27 50.40	-47 15 42.8	210	221.7834	0.5970	12.452	11.943	11.853	201.96001	-47.26188
211	13 28 00.54	-47 31 44.8	211	239.0603	0.4440	12.539	11.961	11.885	202.00223	-47.52912
212	13 27 11.36	-47 45 30.0	212	232.6042	0.7910	12.878	12.412	12.274	201.79732	-47.75833
213	13 26 11.79	-47 14 16.9	213	243.3944	0.3730	12.647	12.117	11.981	201.54913	-47.23804
214	13 25 21.22	-47 44 03.8	214	241.8422	0.7480	12.839	12.355	12.231	201.33842	-47.73438
215	13 24 31.08	-47 30 09.3	215	241.1067	0.9250	13.073	12.578	12.455	201.12949	-47.50257
216	13 24 32.95	-47 21 54.1	216	234.2950	0.8410	13.133	12.664	12.549	201.13731	-47.36502
217	13 24 38.99	-47 15 53.1	217	223.7339	0.8560	13.110	12.634	12.552	201.16246	-47.26474
218	13 26 59.63	-47 44 00.3	218	228.0482	1.1440	13.212	12.723	12.658	201.74844	-47.73340
219	13 25 41.34	-47 23 29.5	219	229.7881	0.4270	12.628	12.019	11.921	201.42225	-47.39152
220	13 26 29.43	-47 13 17.8	220	243.3320	0.7380	13.023	12.506	12.397	201.62262	-47.22160
221	13 25 12.25	-47 19 12.5	221	224.3561	0.4530	13.078	12.577	12.473	201.30106	-47.32014
222	13 27 36.99	-47 12 22.1	222	228.4093	0.5720	13.107	12.548	12.454	201.90411	-47.20615
223	13 25 32.35	-47 43 21.2	223	244.3240	1.1230	13.362	12.836	12.728	201.38479	-47.72254
224	13 26 47.18	-47 44 46.5	224	238.6253	1.1170	13.528	13.063	12.960	201.69657	-47.74624
225	13 25 46.07	-47 46 45.2	225	233.4708	1.3370	13.558	13.059	12.947	201.44196	-47.77922
226	13 24 22.07	-47 32 22.2	226	220.9240	0.6710	13.551	13.005	12.913	201.09197	-47.53949
227	13 28 39.95	-47 26 32.5	227	231.7099	0.9970	8.823	8.051	7.834	202.16648	-47.44236
228	13 25 50.95	-47 02 53.0	228	227.1539	0.4730	8.843	8.083	7.885	201.46231	-47.04806
229	13 28 33.84	-47 32 05.1	229	242.9303	0.3334	8.845	8.082	7.833	202.14101	-47.53475
230	13 28 16.92	-47 29 55.7	230	242.3567	0.3693	9.023	8.352	8.165	202.07051	-47.49880
231	13 26 04.07	-47 07 29.3	231	239.5208	0.4410	9.288	8.551	8.420	201.51695	-47.12479
232	13 28 13.60	-47 24 23.2	232	231.4254	0.3829	9.411	8.668	8.413	202.05665	-47.40645
233	13 28 19.69	-47 24 55.2	233	235.4453	0.7290	9.911	9.106	8.852	202.08202	-47.41533
234	13 25 58.15	-47 08 19.1	234	233.9847	0.4310	10.136	9.511	9.362	201.49228	-47.13864
235	13 28 26.60	-47 23 15.1	235	245.7997	0.4250	10.293	9.637	9.474	202.11084	-47.38752
236	13 21 21.56	-47 16 56.3	236	282.8866	0.3623	10.320	9.670	9.534	200.33982	-47.28230
237	13 28 32.14	-47 34 17.1	237	241.5305	0.3762	10.655	10.039	9.939	202.13394	-47.57142
238	13 28 51.06	-47 31 34.3	238	240.1799	0.3755	10.812	10.199	10.133	202.21274	-47.52620
239	13 28 43.07	-47 29 02.9	239	233.8839	0.5120	10.898	10.314	10.182	202.17945	-47.48413
240	13 28 45.63	-47 39 05.7	240	223.2026	0.4043	10.907	10.335	10.200	202.19012	-47.65157
241	13 27 31.80	-47 58 07.8	241	236.5582	0.4003	10.957	10.378	10.291	201.88249	-47.96883
242	13 28 35.62	-47 25 57.8	242	238.8471	0.2940	10.971	10.287	10.086	202.14844	-47.43273
243	13 28 38.57	-47 38 47.1	243	243.8816	0.4850	10.979	10.402	10.252	202.16069	-47.64642
244	13 25 58.40	-47 08 56.5	244	234.4154	0.5800	10.984	10.416	10.334	201.49335	-47.14902
245	13 28 16.73	-47 16 45.9	245	219.7747	0.5590	11.094	10.526	10.399	202.06971	-47.27942
246	13 29 21.25	-47 26 26.2	246	239.4233	0.3390	11.175	10.604	10.458	202.33853	-47.44062
247	13 27 31.14	-47 58 56.7	247	227.9845	0.4702	11.202	10.657	10.539	201.87974	-47.98241
248	13 33 07.41	-48 03 49.8	248	210.1327	0.4660	11.264	10.721	10.594	203.28089	-48.06382
249	13 27 58.32	-48 10 14.0	249	228.3429	0.3521	11.278	10.714	10.568	201.99299	-48.17056
250	13 26 33.03	-48 24 13.1	250	238.2170	0.3513	11.305	10.720	10.614	201.63763	-48.40364
251	13 28 37.17	-47 38 52.2	251	223.0685	0.3740	11.383	10.883	10.729	202.15489	-47.64784
252	13 28 56.65	-47 10 20.8	252	245.9600	0.4660	11.404	10.808	10.684	202.23604	-47.17244
253	13 28 19.02	-47 31 51.7	253	247.0070	0.3200	11.455	10.760	10.626	202.07923	-47.53102
254	13 24 59.45	-47 07 09.3	254	221.4615	0.5570	11.473	10.896	10.819	201.24772	-47.11925
