Decl,Nmeasure,RA,Reference,STAR LOGG,STAR LOGG err,STAR M_H,STAR M_H err,STAR TEFF,STAR TEFF err,STAR V,STAR V err,SourceNumber,Star_Id,Variable,f606w,f814w,Member
-53.6799,1,265.25,1,4.37227411,,-2.06485045,0.07424269,6209.40898503,25.20905169,12.96125692,2.62533948345,21000161.0,1898676.0,False,17.057,16.43,0.999732375145
-53.6764,1,265.254,1,4.56344196,,-1.7635327,0.09890264,5794.59612941,67.30253568,19.3817714,4.64031322086,21000162.0,1898677.0,False,17.909,17.209,0.999564409256
-53.6943,1,265.245,1,4.66766546,,-1.69361093,0.23009986,5225.3418699,159.35096411,17.11019282,7.15179997683,21000164.0,1898679.0,False,19.272,18.349,0.998405337334
-53.6928,1,265.244,1,4.6976716,,-1.52585064,0.17441629,5321.4464881,126.72609402,13.1419412,5.90194286669,21000165.0,1898680.0,False,19.156,18.277,0.994104802608
-53.6919,1,265.242,1,4.7134893,,-1.57558124,0.17431718,5187.81234119,116.47921349,15.46842372,6.89744362634,21000167.0,1898682.0,False,19.036,18.192,0.996805906296
-53.6914,1,265.24,1,4.62295584,,-1.73952878,0.13636824,5881.7911198,90.61372749,17.46541428,5.42026506278,21000168.0,1898683.0,False,17.81,17.167,0.999548017979
-53.6913,1,265.241,1,4.69611427,,-1.4692529,0.17327354,5335.82847005,122.0315641,11.02049842,5.48242214444,21000169.0,1898684.0,False,19.021,18.169,0.986951887608
-53.6912,1,265.258,1,4.52453468,,-1.62233175,0.09196415,5703.43655105,66.10543369,26.17606162,4.06742149723,21000170.0,1898685.0,False,18.086,17.324,0.994835913181
-53.6903,1,265.258,1,4.6385841,,-1.55407449,0.13670876,5450.54629303,95.40559977,20.93748441,4.54285688031,21000174.0,1898688.0,False,18.74,17.91,0.995495200157
-53.6895,1,265.244,1,4.62452284,,-1.8062277,0.1070421,5802.20613965,67.84883695,21.93602587,4.31606783592,21000175.0,1898689.0,False,18.115,17.408,0.999588549137
-53.6894,1,265.24,1,4.56200121,,-1.8296946,0.08946128,5813.89403644,58.04432313,11.5132154,3.59989121845,21000176.0,1898690.0,False,17.97,17.256,0.999767720699
-53.6893,1,265.256,1,4.67680989,,-1.41571118,0.10381573,5815.09246231,70.54000532,12.33911092,4.49016910112,21000177.0,1898691.0,False,18.337,17.615,0.957714855671
-53.6886,1,265.257,1,4.76077698,,-1.63906777,0.15361867,5449.49931229,102.4760892,10.03597758,5.19109443332,21000180.0,1898694.0,False,18.883,18.1,0.997116744518
-53.6886,1,265.255,1,4.64555582,,-1.68126021,0.12507591,5461.3219648,86.66238473,10.51950558,4.2259798903,21000181.0,1898695.0,False,18.618,17.818,0.998411178589
-53.6881,1,265.237,1,4.66340871,,-0.39967631,0.13562753,5740.92851466,97.6152221,16.04091991,4.81469694235,21000182.0,1898696.0,False,18.772,17.951,9.99999993923e-09
-53.6881,1,265.244,1,4.50872846,,-1.76360526,0.08220689,6089.89469673,34.21086542,13.87449697,3.84874207646,21000183.0,1898697.0,False,17.742,17.045,0.999617934227
-53.6877,1,265.258,1,4.71852256,,-1.68668767,0.16898853,5198.41229259,115.1840486,29.16467061,5.32274452103,21000184.0,1898698.0,False,19.105,18.25,0.993464231491
-53.6876,1,265.246,1,3.96556227,,-2.0851731,0.0457977,6202.62690506,14.73513641,15.92793861,1.56720669216,21000185.0,1898699.0,False,15.974,15.355,0.999784052372
-53.6875,1,265.264,1,4.19201397,,-2.0666942,0.05792137,6289.28095346,23.62669505,22.47295147,1.90050280493,21000186.0,1898700.0,False,16.416,15.829,0.999375879765
-53.6874,1,265.243,1,4.55338694,,-1.91237569,0.09107694,5831.20298653,55.30593294,26.66382849,3.43038338457,21000187.0,1898701.0,False,17.941,17.228,0.999144136906
-53.687,1,265.245,1,4.48105316,,-1.82416225,0.06326224,6053.35804202,30.46976791,18.96311318,2.69949088314,21000189.0,1898703.0,False,17.488,16.83,0.999802231789
-53.6869,1,265.248,1,4.87112003,,-0.43820158,0.11124926,5687.33423706,76.66386488,-16.22516185,4.58943073704,21000191.0,1898705.0,False,19.087,18.331,0.0
-53.6866,1,265.236,1,4.70295922,,-1.69110332,0.21274263,5243.2223846,143.85100869,33.40299101,6.43178037515,21000193.0,1898707.0,False,19.047,18.194,0.986720561981
-53.6869,1,265.243,1,4.11576199,,-0.38385003,0.06206753,4658.33812126,27.84568041,105.46714076,2.17161524142,21000194.0,1898708.0,False,17.937,16.942,0.0
